NO;Tolueno;Tolueno;T4-CSF;T4-CCF;T4-F;T7;T10-R;T13;T15-R;T15-M;T20-naclo2;T21EGA;T23
944.7457457;90.89718128;90.89718128;65.62585678;63.5426176;65.58147292;76.85317289;9.797383887;67.3523548;87.45228763;87.76217467;85.22253241;36.07565296;81.84373717
948.0830831;90.55168636;90.55168636;64.32423307;62.24816424;65.09315889;75.3548706;10.1259544;67.38206257;87.20868223;86.35141999;83.15616489;34.43426893;80.19435916
951.4204204;90.1914525;90.1914525;62.58284172;60.95371088;63.84427239;73.85660892;10.42156613;67.39858503;86.55897027;84.94066531;80.87136925;32.8456776;78.51891027
954.7577578;89.79387291;89.79387291;60.8414622;59.08387118;62.4018706;72.35834724;10.66750756;67.4151075;85.90922903;83.52989524;78.23658634;31.27597434;76.60635766
958.0950951;89.39629332;89.39629332;57.92120767;56.63798163;60.95946881;70.86008556;10.8844705;67.40028862;85.25951706;82.06337854;75.48601654;29.75413647;74.65913161
961.4324324;89.04665311;89.04665311;54.54402694;54.19210908;58.22939069;69.86886598;10.93547348;67.38045233;84.6098051;80.35008946;72.18979923;28.24520348;72.51756529
964.7697698;88.7124432;88.7124432;51.16683439;50.15266531;55.49737999;69.56874255;10.8809935;67.35928584;83.96009313;78.63678498;68.86226808;26.78437051;70.27833707
968.1071071;88.40538992;88.40538992;48.44242396;45.44347722;52.66047702;69.2685785;10.51987536;67.30556449;82.44121067;76.63404756;65.51833688;25.33268829;67.65738238
971.4444444;88.18923857;88.18923857;45.76863716;40.73428914;49.41140009;68.96845506;10.25998343;67.2518198;79.27258431;74.55582664;62.25845592;23.93391609;65.00345815
974.7817818;87.97308722;87.97308722;43.22524349;38.69652422;46.16230343;68.66829101;10.08817533;67.19091071;76.86064791;72.47760572;59.15337603;22.54165499;62.25376984
978.1191191;87.86259323;87.86259323;41.51461919;36.9279841;42.90608776;68.36816758;10.57018366;67.10412109;74.44868223;70.3994002;56.10596537;21.19831514;59.51613342
981.4564565;87.79661933;87.79661933;39.80398305;35.21587842;39.63938088;68.06800353;11.25036286;67.01730814;72.03674583;68.40728559;53.1049361;19.85808419;56.80555143
984.7937938;87.76753666;87.76753666;37.70022686;33.94760915;36.372674;67.76788009;12.36334083;66.91621305;68.1029708;66.80296493;50.14858414;18.56771302;53.6791098
988.1311311;87.90990141;87.90990141;34.84254777;32.67932285;33.21606555;62.8698981;13.54344143;66.79315802;65.07562562;65.19864427;47.20662066;17.281096;49.8155909
991.4684685;88.05226615;88.05226615;31.98486868;31.3801567;30.1311601;55.84307032;14.81079647;66.67010299;62.66251846;63.59432362;44.30016073;16.07343342;45.65184128
994.8058058;87.89643311;87.89643311;29.6865109;30.01451801;27.04625466;52.76101788;15.93952902;66.52394452;60.24938203;61.99000296;41.40174706;14.87849974;41.06142688
998.1431431;87.58045282;87.58045282;27.84565914;28.64886232;24.19162314;51.92712958;16.97517669;66.36023675;57.98112685;60.23174401;38.53755568;13.80633844;36.40580758
